eightd_station_services,station_id,has_kiosk,external_id,eightd_has_key_dispenser,legacy_id,capacity,lat,lon,name,rental_uris,region_id,rental_methods,short_name,station_type,electric_bike_surcharge_waiver
[],168,True,66db33fc-0aca-11e7-82f6-3863bb44ef7c,False,168,47,40.73971301,-73.99456405,W 18 St &amp; 6 Ave,"{'android': 'https://bkn.lft.to/lastmile_qr_scan', 'ios': 'https://bkn.lft.to/lastmile_qr_scan'}",71,"['CREDITCARD', 'KEY']",6064.08,classic,False
[],174,True,66db34fc-0aca-11e7-82f6-3863bb44ef7c,False,174,35,40.7381765,-73.97738662,E 25 St &amp; 1 Ave,"{'android': 'https://bkn.lft.to/lastmile_qr_scan', 'ios': 'https://bkn.lft.to/lastmile_qr_scan'}",71,"['CREDITCARD', 'KEY']",6004.07,classic,False
[],212,True,66db3606-0aca-11e7-82f6-3863bb44ef7c,False,212,60,40.74334935,-74.00681753,W 16 St &amp; The High Line,"{'android': 'https://bkn.lft.to/lastmile_qr_scan', 'ios': 'https://bkn.lft.to/lastmile_qr_scan'}",71,"['CREDITCARD', 'KEY']",6233.05,classic,False
[],216,True,66db3687-0aca-11e7-82f6-3863bb44ef7c,False,216,37,40.70037867,-73.99548059,Columbia Heights &amp; Cranberry St,"{'android': 'https://bkn.lft.to/lastmile_qr_scan', 'ios': 'https://bkn.lft.to/lastmile_qr_scan'}",71,"['CREDITCARD', 'KEY']",4829.01,classic,False
[],217,True,66db3708-0aca-11e7-82f6-3863bb44ef7c,False,217,39,40.70277159,-73.99383605,Old Fulton St,"{'android': 'https://bkn.lft.to/lastmile_qr_scan', 'ios': 'https://bkn.lft.to/lastmile_qr_scan'}",71,"['CREDITCARD', 'KEY']",4903.08,classic,False
[],223,True,66db3816-0aca-11e7-82f6-3863bb44ef7c,False,223,33,40.73781509,-73.99994661,W 13 St &amp; 7 Ave,"{'android': 'https://bkn.lft.to/lastmile_qr_scan', 'ios': 'https://bkn.lft.to/lastmile_qr_scan'}",71,"['CREDITCARD', 'KEY']",6030.04,classic,False
[],224,True,66db3898-0aca-11e7-82f6-3863bb44ef7c,False,224,34,40.71146364,-74.00552427,Spruce St &amp; Nassau St,"{'android': 'https://bkn.lft.to/lastmile_qr_scan', 'ios': 'https://bkn.lft.to/lastmile_qr_scan'}",71,"['CREDITCARD', 'KEY']",5137.10,classic,False
[],228,True,66db3997-0aca-11e7-82f6-3863bb44ef7c,False,228,78,40.7546011026,-73.971878855,E 48 St &amp; 3 Ave,"{'android': 'https://bkn.lft.to/lastmile_qr_scan', 'ios': 'https://bkn.lft.to/lastmile_qr_scan'}",71,"['CREDITCARD', 'KEY']",6541.03,classic,False
[],229,True,66db3a1e-0aca-11e7-82f6-3863bb44ef7c,False,229,23,40.72743423,-73.99379025,Great Jones St,"{'android': 'https://bkn.lft.to/lastmile_qr_scan', 'ios': 'https://bkn.lft.to/lastmile_qr_scan'}",71,"['CREDITCARD', 'KEY']",5636.11,classic,False
[],232,True,66db3aa3-0aca-11e7-82f6-3863bb44ef7c,False,232,52,40.69597683,-73.99014892,Cadman Plaza E &amp; Tillary St,"{'android': 'https://bkn.lft.to/lastmile_qr_scan', 'ios': 'https://bkn.lft.to/lastmile_qr_scan'}",71,"['CREDITCARD', 'KEY']",4677.01,classic,False
[],236,True,66db3ba0-0aca-11e7-82f6-3863bb44ef7c,False,236,51,40.7284186,-73.98713956,St Marks Pl &amp; 2 Ave,"{'android': 'https://bkn.lft.to/lastmile_qr_scan', 'ios': 'https://bkn.lft.to/lastmile_qr_scan'}",71,"['CREDITCARD', 'KEY']",5669.10,classic,False
[],238,True,66db3cab-0aca-11e7-82f6-3863bb44ef7c,False,238,31,40.7361967,-74.00859207,Bank St &amp; Washington St,"{'android': 'https://bkn.lft.to/lastmile_qr_scan', 'ios': 'https://bkn.lft.to/lastmile_qr_scan'}",71,"['CREDITCARD', 'KEY']",5964.01,classic,False
[],239,True,66db3d2a-0aca-11e7-82f6-3863bb44ef7c,False,239,62,40.69196566,-73.9813018,Willoughby St &amp; Fleet St,"{'android': 'https://bkn.lft.to/lastmile_qr_scan', 'ios': 'https://bkn.lft.to/lastmile_qr_scan'}",71,"['CREDITCARD', 'KEY']",4628.05,classic,False
[],241,True,66db3da9-0aca-11e7-82f6-3863bb44ef7c,False,241,23,40.68981035,-73.97493121,DeKalb Ave &amp; S Portland Ave,"{'android': 'https://bkn.lft.to/lastmile_qr_scan', 'ios': 'https://bkn.lft.to/lastmile_qr_scan'}",71,"['CREDITCARD', 'KEY']",4546.04,classic,False
[],242,True,66db3e32-0aca-11e7-82f6-3863bb44ef7c,False,242,0,40.697787,-73.973736,Carlton Ave &amp; Flushing Ave,"{'android': 'https://bkn.lft.to/lastmile_qr_scan', 'ios': 'https://bkn.lft.to/lastmile_qr_scan'}",71,"['CREDITCARD', 'KEY']",4732.08,classic,False
[],244,True,66db3f01-0aca-11e7-82f6-3863bb44ef7c,False,244,51,40.69196035,-73.96536851,Willoughby Ave &amp; Hall St,"{'android': 'https://bkn.lft.to/lastmile_qr_scan', 'ios': 'https://bkn.lft.to/lastmile_qr_scan'}",71,"['CREDITCARD', 'KEY']",4611.03,classic,False
[],245,True,66db3f62-0aca-11e7-82f6-3863bb44ef7c,False,245,56,40.69327018,-73.97703874,Myrtle Ave &amp; St Edwards St,"{'android': 'https://bkn.lft.to/lastmile_qr_scan', 'ios': 'https://bkn.lft.to/lastmile_qr_scan'}",71,"['CREDITCARD', 'KEY']",4659.02,classic,False
[],247,True,66db3fc9-0aca-11e7-82f6-3863bb44ef7c,False,247,59,40.73535398,-74.00483091,Perry St &amp; Bleecker St,"{'android': 'https://bkn.lft.to/lastmile_qr_scan', 'ios': 'https://bkn.lft.to/lastmile_qr_scan'}",71,"['CREDITCARD', 'KEY']",5922.07,classic,False
[],248,True,66db402c-0aca-11e7-82f6-3863bb44ef7c,False,248,91,40.72185379,-74.00771779,Laight St &amp; Hudson St,"{'android': 'https://bkn.lft.to/lastmile_qr_scan', 'ios': 'https://bkn.lft.to/lastmile_qr_scan'}",71,"['CREDITCARD', 'KEY']",5539.06,classic,False
[],249,True,66db408f-0aca-11e7-82f6-3863bb44ef7c,False,249,27,40.71870987,-74.0090009,Harrison St &amp; Hudson St,"{'android': 'https://bkn.lft.to/lastmile_qr_scan', 'ios': 'https://bkn.lft.to/lastmile_qr_scan'}",71,"['CREDITCARD', 'KEY']",5400.05,classic,False
[],250,True,66db40ef-0aca-11e7-82f6-3863bb44ef7c,False,250,40,40.72456089,-73.99565293,Lafayette St &amp; Jersey St,"{'android': 'https://bkn.lft.to/lastmile_qr_scan', 'ios': 'https://bkn.lft.to/lastmile_qr_scan'}",71,"['CREDITCARD', 'KEY']",5561.06,classic,False
[],251,True,66db4158-0aca-11e7-82f6-3863bb44ef7c,False,251,27,40.72317958,-73.99480012,Mott St &amp; Prince St,"{'android': 'https://bkn.lft.to/lastmile_qr_scan', 'ios': 'https://bkn.lft.to/lastmile_qr_scan'}",71,"['CREDITCARD', 'KEY']",5561.04,classic,False
[],252,True,66db41bf-0aca-11e7-82f6-3863bb44ef7c,False,252,33,40.73226398,-73.99852205,MacDougal St &amp; Washington Sq,"{'android': 'https://bkn.lft.to/lastmile_qr_scan', 'ios': 'https://bkn.lft.to/lastmile_qr_scan'}",71,"['CREDITCARD', 'KEY']",5797.01,classic,False
[],254,True,66db4282-0aca-11e7-82f6-3863bb44ef7c,False,254,47,40.73532427,-73.99800419,W 11 St &amp; 6 Ave,"{'android': 'https://bkn.lft.to/lastmile_qr_scan', 'ios': 'https://bkn.lft.to/lastmile_qr_scan'}",71,"['CREDITCARD', 'KEY']",5914.03,classic,False
[],257,True,66db4351-0aca-11e7-82f6-3863bb44ef7c,False,257,70,40.71939226,-74.00247214,Lispenard St &amp; Broadway,"{'android': 'https://bkn.lft.to/lastmile_qr_scan', 'ios': 'https://bkn.lft.to/lastmile_qr_scan'}",71,"['CREDITCARD', 'KEY']",5391.06,classic,False
[],258,True,66db43b5-0aca-11e7-82f6-3863bb44ef7c,False,258,23,40.68940747,-73.96885458,DeKalb Ave &amp; Vanderbilt Ave,"{'android': 'https://bkn.lft.to/lastmile_qr_scan', 'ios': 'https://bkn.lft.to/lastmile_qr_scan'}",71,"['CREDITCARD', 'KEY']",4461.04,classic,False
[],259,True,66db4417-0aca-11e7-82f6-3863bb44ef7c,False,259,39,40.70122128,-74.01234218,South St &amp; Whitehall St,"{'android': 'https://bkn.lft.to/lastmile_qr_scan', 'ios': 'https://bkn.lft.to/lastmile_qr_scan'}",71,"['CREDITCARD', 'KEY']",4846.01,classic,False
[],260,True,66db447a-0aca-11e7-82f6-3863bb44ef7c,False,260,33,40.70365182,-74.01167797,Broad St &amp; Bridge St,"{'android': 'https://bkn.lft.to/lastmile_qr_scan', 'ios': 'https://bkn.lft.to/lastmile_qr_scan'}",71,"['CREDITCARD', 'KEY']",4962.08,classic,False
[],261,True,66db44e5-0aca-11e7-82f6-3863bb44ef7c,False,261,41,40.69474881,-73.98362464,Johnson St &amp; Gold St,"{'android': 'https://bkn.lft.to/lastmile_qr_scan', 'ios': 'https://bkn.lft.to/lastmile_qr_scan'}",71,"['CREDITCARD', 'KEY']",4668.08,classic,False
[],262,True,66db4549-0aca-11e7-82f6-3863bb44ef7c,False,262,24,40.6917823,-73.9737299,Washington Park,"{'android': 'https://bkn.lft.to/lastmile_qr_scan', 'ios': 'https://bkn.lft.to/lastmile_qr_scan'}",71,"['CREDITCARD', 'KEY']",4546.05,classic,False
[],264,True,66db460d-0aca-11e7-82f6-3863bb44ef7c,False,264,29,40.70706456,-74.00731853,Maiden Ln &amp; Pearl St,"{'android': 'https://bkn.lft.to/lastmile_qr_scan', 'ios': 'https://bkn.lft.to/lastmile_qr_scan'}",71,"['CREDITCARD', 'KEY']",5065.10,classic,False
[],265,True,66db4671-0aca-11e7-82f6-3863bb44ef7c,False,265,35,40.72229346,-73.99147535,Stanton St &amp; Chrystie St,"{'android': 'https://bkn.lft.to/lastmile_qr_scan', 'ios': 'https://bkn.lft.to/lastmile_qr_scan'}",71,"['CREDITCARD', 'KEY']",5523.02,classic,False
[],266,True,66db46d7-0aca-11e7-82f6-3863bb44ef7c,False,266,30,40.72368361,-73.97574813,Ave D &amp; E 8 St,"{'android': 'https://bkn.lft.to/lastmile_qr_scan', 'ios': 'https://bkn.lft.to/lastmile_qr_scan'}",71,"['CREDITCARD', 'KEY']",5506.10,classic,False
[],267,True,66db473c-0aca-11e7-82f6-3863bb44ef7c,False,267,78,40.75097711,-73.98765428,Broadway &amp; W 36 St,"{'android': 'https://bkn.lft.to/lastmile_qr_scan', 'ios': 'https://bkn.lft.to/lastmile_qr_scan'}",71,"['CREDITCARD', 'KEY']",6441.01,classic,False
[],268,True,66db479e-0aca-11e7-82f6-3863bb44ef7c,False,268,27,40.71910537,-73.99973337,Howard St &amp; Lafayette St,"{'android': 'https://bkn.lft.to/lastmile_qr_scan', 'ios': 'https://bkn.lft.to/lastmile_qr_scan'}",71,"['CREDITCARD', 'KEY']",5422.04,classic,False
[],270,True,66db5c14-0aca-11e7-82f6-3863bb44ef7c,False,270,28,40.69308257,-73.97178913,Adelphi St &amp; Myrtle Ave,"{'android': 'https://bkn.lft.to/lastmile_qr_scan', 'ios': 'https://bkn.lft.to/lastmile_qr_scan'}",71,"['CREDITCARD', 'KEY']",4620.02,classic,False
[],275,True,66db5d92-0aca-11e7-82f6-3863bb44ef7c,False,275,19,40.68650065,-73.96563307,Washington Ave &amp; Greene Ave,"{'android': 'https://bkn.lft.to/lastmile_qr_scan', 'ios': 'https://bkn.lft.to/lastmile_qr_scan'}",71,"['CREDITCARD', 'KEY']",4419.03,classic,False
[],278,True,66db5e6a-0aca-11e7-82f6-3863bb44ef7c,False,278,19,40.69766564,-73.98476437,Concord St &amp; Bridge St,"{'android': 'https://bkn.lft.to/lastmile_qr_scan', 'ios': 'https://bkn.lft.to/lastmile_qr_scan'}",71,"['CREDITCARD', 'KEY']",4781.03,classic,False
[],281,True,66db5fae-0aca-11e7-82f6-3863bb44ef7c,False,281,96,40.7643971,-73.97371465,Grand Army Plaza &amp; Central Park S,"{'android': 'https://bkn.lft.to/lastmile_qr_scan', 'ios': 'https://bkn.lft.to/lastmile_qr_scan'}",71,"['CREDITCARD', 'KEY']",6839.10,classic,False
[],284,True,66db631c-0aca-11e7-82f6-3863bb44ef7c,False,284,51,40.7390169121,-74.0026376103,Greenwich Ave &amp; 8 Ave,"{'android': 'https://bkn.lft.to/lastmile_qr_scan', 'ios': 'https://bkn.lft.to/lastmile_qr_scan'}",71,"['CREDITCARD', 'KEY']",6072.06,classic,False
[],285,True,66db6387-0aca-11e7-82f6-3863bb44ef7c,False,285,78,40.73454567,-73.99074142,Broadway &amp; E 14 St,"{'android': 'https://bkn.lft.to/lastmile_qr_scan', 'ios': 'https://bkn.lft.to/lastmile_qr_scan'}",71,"['CREDITCARD', 'KEY']",5905.12,classic,False
[],289,True,66db63f4-0aca-11e7-82f6-3863bb44ef7c,False,289,19,40.6845683,-73.95881081,Monroe St &amp; Classon Ave,"{'android': 'https://bkn.lft.to/lastmile_qr_scan', 'ios': 'https://bkn.lft.to/lastmile_qr_scan'}",71,"['CREDITCARD', 'KEY']",4336.01,classic,False
[],291,True,66db64d1-0aca-11e7-82f6-3863bb44ef7c,False,291,20,40.713126,-73.984844,Madison St &amp; Montgomery St,"{'android': 'https://bkn.lft.to/lastmile_qr_scan', 'ios': 'https://bkn.lft.to/lastmile_qr_scan'}",71,"['CREDITCARD', 'KEY']",5262.09,classic,False
[],293,True,66db65aa-0aca-11e7-82f6-3863bb44ef7c,False,293,90,40.73020660529954,-73.99102628231049,Lafayette St &amp; E 8 St,"{'android': 'https://bkn.lft.to/lastmile_qr_scan', 'ios': 'https://bkn.lft.to/lastmile_qr_scan'}",71,"['CREDITCARD', 'KEY']",5788.13,classic,False
[],294,True,66db67d2-0aca-11e7-82f6-3863bb44ef7c,False,294,64,40.73049393,-73.9957214,Washington Square E,"{'android': 'https://bkn.lft.to/lastmile_qr_scan', 'ios': 'https://bkn.lft.to/lastmile_qr_scan'}",71,"['CREDITCARD', 'KEY']",5755.09,classic,False
[],295,True,66db6889-0aca-11e7-82f6-3863bb44ef7c,False,295,24,40.71406667,-73.99293911,Pike St &amp; E Broadway,"{'android': 'https://bkn.lft.to/lastmile_qr_scan', 'ios': 'https://bkn.lft.to/lastmile_qr_scan'}",71,"['CREDITCARD', 'KEY']",5270.05,classic,False
[],297,True,66db6963-0aca-11e7-82f6-3863bb44ef7c,False,297,77,40.734232,-73.986923,E 15 St &amp; 3 Ave,"{'android': 'https://bkn.lft.to/lastmile_qr_scan', 'ios': 'https://bkn.lft.to/lastmile_qr_scan'}",71,"['CREDITCARD', 'KEY']",5863.07,classic,False
[],298,True,66db69d0-0aca-11e7-82f6-3863bb44ef7c,False,298,35,40.68683208,-73.9796772,3 Ave &amp; Schermerhorn St,"{'android': 'https://bkn.lft.to/lastmile_qr_scan', 'ios': 'https://bkn.lft.to/lastmile_qr_scan'}",71,"['CREDITCARD', 'KEY']",4437.01,classic,False
[],301,True,66db6aae-0aca-11e7-82f6-3863bb44ef7c,False,301,58,40.72217444,-73.98368779,E 2 St &amp; Avenue B,"{'android': 'https://bkn.lft.to/lastmile_qr_scan', 'ios': 'https://bkn.lft.to/lastmile_qr_scan'}",71,"['CREDITCARD', 'KEY']",5515.02,classic,False
[],302,True,66db6cd4-0aca-11e7-82f6-3863bb44ef7c,False,302,37,40.72082834,-73.97793172,Avenue D &amp; E 3 St,"{'android': 'https://bkn.lft.to/lastmile_qr_scan', 'ios': 'https://bkn.lft.to/lastmile_qr_scan'}",71,"['CREDITCARD', 'KEY']",5436.09,classic,False
[],303,True,66db6d40-0aca-11e7-82f6-3863bb44ef7c,False,303,67,40.72362738,-73.99949601,Mercer St &amp; Spring St,"{'android': 'https://bkn.lft.to/lastmile_qr_scan', 'ios': 'https://bkn.lft.to/lastmile_qr_scan'}",71,"['CREDITCARD', 'KEY']",5532.01,classic,False
[],304,True,66db6da2-0aca-11e7-82f6-3863bb44ef7c,False,304,48,40.70463334,-74.01361706,Broadway &amp; Battery Pl,"{'android': 'https://bkn.lft.to/lastmile_qr_scan', 'ios': 'https://bkn.lft.to/lastmile_qr_scan'}",71,"['CREDITCARD', 'KEY']",4962.01,classic,False
[],305,True,66db6e49-0aca-11e7-82f6-3863bb44ef7c,False,305,49,40.76095756,-73.96724467,E 58 St &amp; 3 Ave,"{'android': 'https://bkn.lft.to/lastmile_qr_scan', 'ios': 'https://bkn.lft.to/lastmile_qr_scan'}",71,"['CREDITCARD', 'KEY']",6762.02,classic,False
[],307,True,66db6f2e-0aca-11e7-82f6-3863bb44ef7c,False,307,31,40.71427487,-73.98990025,Canal St &amp; Rutgers St,"{'android': 'https://bkn.lft.to/lastmile_qr_scan', 'ios': 'https://bkn.lft.to/lastmile_qr_scan'}",71,"['CREDITCARD', 'KEY']",5303.08,classic,False
[],308,True,66db7152-0aca-11e7-82f6-3863bb44ef7c,False,308,48,40.71307916,-73.99851193,St James Pl &amp; Oliver St,"{'android': 'https://bkn.lft.to/lastmile_qr_scan', 'ios': 'https://bkn.lft.to/lastmile_qr_scan'}",71,"['CREDITCARD', 'KEY']",5238.05,classic,False
[],311,True,66db728c-0aca-11e7-82f6-3863bb44ef7c,False,311,59,40.7172274,-73.98802084,Norfolk St &amp; Broome St,"{'android': 'https://bkn.lft.to/lastmile_qr_scan', 'ios': 'https://bkn.lft.to/lastmile_qr_scan'}",71,"['CREDITCARD', 'KEY']",5374.01,classic,False
[],312,True,66db72f1-0aca-11e7-82f6-3863bb44ef7c,False,312,33,40.722055,-73.989111,Allen St &amp; Stanton St,"{'android': 'https://bkn.lft.to/lastmile_qr_scan', 'ios': 'https://bkn.lft.to/lastmile_qr_scan'}",71,"['CREDITCARD', 'KEY']",5484.09,classic,False
[],313,True,66db74a5-0aca-11e7-82f6-3863bb44ef7c,False,313,55,40.69610226,-73.96751037,Washington Ave &amp; Park Ave,"{'android': 'https://bkn.lft.to/lastmile_qr_scan', 'ios': 'https://bkn.lft.to/lastmile_qr_scan'}",71,"['CREDITCARD', 'KEY']",4724.03,classic,False
[],315,True,66db75cc-0aca-11e7-82f6-3863bb44ef7c,False,315,29,40.70355377,-74.00670227,South St &amp; Gouverneur Ln,"{'android': 'https://bkn.lft.to/lastmile_qr_scan', 'ios': 'https://bkn.lft.to/lastmile_qr_scan'}",71,"['CREDITCARD', 'KEY']",4953.04,classic,False
[],316,True,66db7637-0aca-11e7-82f6-3863bb44ef7c,False,316,43,40.70960089363537,-74.00655090808868,Fulton St &amp; William St,"{'android': 'https://bkn.lft.to/lastmile_qr_scan', 'ios': 'https://bkn.lft.to/lastmile_qr_scan'}",71,"['CREDITCARD', 'KEY']",5137.11,classic,False
[],317,True,66db76a1-0aca-11e7-82f6-3863bb44ef7c,False,317,67,40.72453734,-73.98185424,E 6 St &amp; Avenue B,"{'android': 'https://bkn.lft.to/lastmile_qr_scan', 'ios': 'https://bkn.lft.to/lastmile_qr_scan'}",71,"['CREDITCARD', 'KEY']",5584.04,classic,False
[],319,True,66db79a3-0aca-11e7-82f6-3863bb44ef7c,False,319,33,40.711066,-74.009447,Fulton St &amp; Broadway,"{'android': 'https://bkn.lft.to/lastmile_qr_scan', 'ios': 'https://bkn.lft.to/lastmile_qr_scan'}",71,"['CREDITCARD', 'KEY']",5175.08,classic,False
[],320,True,66db7a0d-0aca-11e7-82f6-3863bb44ef7c,False,320,54,40.717571,-74.005549,Leonard St &amp; Church St,"{'android': 'https://bkn.lft.to/lastmile_qr_scan', 'ios': 'https://bkn.lft.to/lastmile_qr_scan'}",71,"['CREDITCARD', 'KEY']",5359.11,classic,False
[],321,True,66db7a71-0aca-11e7-82f6-3863bb44ef7c,False,321,39,40.69991755,-73.98971773,Cadman Plaza E &amp; Red Cross Pl,"{'android': 'https://bkn.lft.to/lastmile_qr_scan', 'ios': 'https://bkn.lft.to/lastmile_qr_scan'}",71,"['CREDITCARD', 'KEY']",4821.06,classic,False
[],323,True,66db88f5-0aca-11e7-82f6-3863bb44ef7c,False,323,39,40.69236178,-73.98631746,Lawrence St &amp; Willoughby St,"{'android': 'https://bkn.lft.to/lastmile_qr_scan', 'ios': 'https://bkn.lft.to/lastmile_qr_scan'}",71,"['CREDITCARD', 'KEY']",4596.09,classic,False
[],324,True,66db89a3-0aca-11e7-82f6-3863bb44ef7c,False,324,74,40.689888,-73.981013,DeKalb Ave &amp; Hudson Ave,"{'android': 'https://bkn.lft.to/lastmile_qr_scan', 'ios': 'https://bkn.lft.to/lastmile_qr_scan'}",71,"['CREDITCARD', 'KEY']",4513.06,classic,False
[],325,True,66db8c10-0aca-11e7-82f6-3863bb44ef7c,False,325,35,40.73624527,-73.98473765,E 19 St &amp; 3 Ave,"{'android': 'https://bkn.lft.to/lastmile_qr_scan', 'ios': 'https://bkn.lft.to/lastmile_qr_scan'}",71,"['CREDITCARD', 'KEY']",5938.01,classic,False
[],326,True,66db8ca4-0aca-11e7-82f6-3863bb44ef7c,False,326,41,40.72953837,-73.98426726,E 11 St &amp; 1 Ave,"{'android': 'https://bkn.lft.to/lastmile_qr_scan', 'ios': 'https://bkn.lft.to/lastmile_qr_scan'}",71,"['CREDITCARD', 'KEY']",5746.14,classic,False
